x,y1,y2,y3,y4
-20.0,-45.29234,-15999.796,99.52958,899.8275
-19.9,-44.36496,-15761.017,99.89567,893.4274
-19.8,-44.565968,-15524.681,98.85578,887.16046
-19.7,-44.76245,-15290.5,98.1261,881.4487
-19.6,-44.188698,-15058.586,97.511475,875.37726
-19.5,-44.325283,-14829.747,97.89807,869.4099
-19.4,-44.25751,-14602.485,96.85988,863.8766
-19.3,-43.125065,-14378.414,96.852066,857.5563
-19.2,-43.14248,-14155.929,95.52498,851.42163
-19.1,-43.300583,-13935.392,95.96843,845.65063
-19.0,-42.875423,-13718.042,95.377365,839.93085
-18.9,-42.94328,-13502.642,94.743195,834.3143
-18.8,-42.340214,-13289.002,94.043816,828.2413
-18.7,-42.112392,-13078.37,93.623535,823.1283
-18.6,-41.990173,-12869.967,92.95969,816.8228
-18.5,-41.772976,-12663.32,92.20281,811.35956
-18.4,-41.32246,-12459.056,92.36537,805.2177
-18.3,-41.247326,-12256.788,91.11789,799.8028
-18.2,-41.05463,-12057.295,90.653404,794.1718
-18.1,-41.39409,-11859.699,90.907425,788.5623
-18.0,-41.33695,-11663.903,89.84142,782.85504
-17.9,-40.717873,-11470.728,89.92756,777.8969
-17.8,-40.46489,-11279.917,89.39797,772.06604
-17.7,-40.174564,-11090.439,88.88937,766.6588
-17.6,-40.409603,-10904.015,87.90862,761.10486
-17.5,-39.546944,-10718.343,87.29848,756.1839
-17.4,-39.38404,-10536.112,87.07872,750.6001
-17.3,-40.079357,-10354.985,86.707054,745.4498
-17.2,-38.904865,-10176.984,86.35679,739.514
-17.1,-38.765858,-10000.822,85.93742,734.445
-17.0,-38.72946,-9826.456,85.08967,728.78735
-16.9,-38.7408,-9653.323,84.800354,724.08606
-16.8,-38.565224,-9483.553,83.587814,718.7637
-16.7,-38.278473,-9315.004,83.543915,713.2938
-16.6,-38.00296,-9148.764,83.408485,708.361
-16.5,-37.50441,-8983.898,82.39564,703.38153
-16.4,-38.129,-8821.426,81.78814,697.5423
-16.3,-37.820213,-8661.155,81.05207,692.7168
-16.2,-36.94235,-8502.721,80.97514,687.73334
-16.1,-36.82691,-8346.716,80.24257,681.71045
-16.0,-36.883045,-8191.72,80.09404,676.71484
-15.9,-36.49973,-8039.184,79.855865,671.59357
-15.8,-36.1569,-7888.509,79.40431,666.5939
-15.7,-36.655327,-7739.3813,78.49408,661.57605
-15.6,-35.787064,-7592.5693,78.21933,656.54767
-15.5,-35.64769,-7448.235,77.76323,651.27344
-15.4,-35.501133,-7304.5635,76.51474,645.78485
-15.3,-35.11005,-7163.4517,76.079445,641.36304
-15.2,-35.019688,-7023.5977,75.94827,636.0277
-15.1,-35.49745,-6886.3247,75.87151,631.23975
-15.0,-35.039158,-6749.7734,75.17947,625.71234
-14.9,-34.33332,-6616.3203,74.645874,621.11096
-14.8,-34.182953,-6483.172,73.7852,615.9381
-14.7,-34.71442,-6353.193,73.19189,610.7793
-14.6,-34.129642,-6224.6826,73.23799,605.3818
-14.5,-33.578342,-6096.908,72.31666,600.5974
-14.4,-33.75277,-5972.2485,71.55761,595.92737
-14.3,-33.435658,-5848.832,71.72888,591.1279
-14.2,-32.981686,-5726.2417,70.76621,585.6857
